Estación,Título,latitud,longitud,Fecha,Periodo,SO2,H2S,NO,NO2,NOX,CO,O3,PM10,PM25,BEN,TOL,MXIL,Dirección Viento,Velocidad Viento,Temperatura,HR,PRB,RS,LL
"12","Estación móvil zona Portuarios","43.553280","-5.702679","2023-10-21","1","3","3","1","2","2","","72","","","","","","161","1.3400000333786","12.8000001907349","78","1000","42","0"
"12","Estación móvil zona Portuarios","43.553280","-5.702679","2023-10-21","2","3","3","1","2","2","","72","","","","","","162","1.16999995708466","12.8000001907349","76","1001","41","0"
"12","Estación móvil zona Portuarios","43.553280","-5.702679","2023-10-21","3","3","3","1","2","2","","73","","","","","","164","1.35000002384186","12.8999996185303","74","1001","41","0"
"12","Estación móvil zona Portuarios","43.553280","-5.702679","2023-10-21","4","3","3","1","2","2","","73","","","","","","179","1.37999999523163","12.8999996185303","74","1001","44","0"
"12","Estación móvil zona Portuarios","43.553280","-5.702679","2023-10-21","5","3","3.09999990463257","1","2","2","","74","","","","","","158","1.22000002861023","12.8999996185303","72","1001","42","0"
"12","Estación móvil zona Portuarios","43.553280","-5.702679","2023-10-21","6","3","3.09999990463257","1","2","2","","75","","","","","","177","1.33000004291534","13.3000001907349","71","1001","41","0"
"12","Estación móvil zona Portuarios","43.553280","-5.702679","2023-10-21","7","3","3.09999990463257","1","2","2","","75","","","","","","178","1.21000003814697","13.6999998092651","69","1001","40","0"
"12","Estación móvil zona Portuarios","43.553280","-5.702679","2023-10-21","8","3","2.79999995231628","1","2","2","","78","","","","","","188","2.39000010490417","14.3999996185303","67","1002","64","0"
"12","Estación móvil zona Portuarios","43.553280","-5.702679","2023-10-21","9","3","2.79999995231628","1","2","2","","72","","","","","","181","1.70000004768372","15.3000001907349","67","1002","138","0"
"12","Estación móvil zona Portuarios","43.553280","-5.702679","2023-10-21","10","4","3","1","3","4","","74","","","","","","179","1.9099999666214","16.7000007629395","62","1003","263","0"
"12","Estación móvil zona Portuarios","43.553280","-5.702679","2023-10-21","11","3","2.79999995231628","1","2","2","","77","","","","","","181","2.30999994277954","18.3999996185303","55","1003","447","0"
"12","Estación móvil zona Portuarios","43.553280","-5.702679","2023-10-21","12","3","3","1","2","2","","78","","","","","","182","2.5699999332428","19.3999996185303","51","1003","480","0"
"12","Estación móvil zona Portuarios","43.553280","-5.702679","2023-10-21","13","3","2.90000009536743","1","2","2","","78","","","","","","196","1.63999998569489","19.5","50","1003","303","0"
"12","Estación móvil zona Portuarios","43.553280","-5.702679","2023-10-21","14","3","2.79999995231628","1","2","2","","76","","","","","","181","1.36000001430511","19.8999996185303","49","1003","309","0"
"12","Estación móvil zona Portuarios","43.553280","-5.702679","2023-10-21","15","3","2.90000009536743","3","15","20","","61","","","","","","235","1.74000000953674","18.1000003814697","65","1003","244","0"
"12","Estación móvil zona Portuarios","43.553280","-5.702679","2023-10-21","16","3","3.20000004768372","3","20","25","","58","","","","","","225","1.28999996185303","18","69","1003","146","0"
"12","Estación móvil zona Portuarios","43.553280","-5.702679","2023-10-21","17","3","3","2","12","13","","66","","","","","","239","1.32000005245209","16.2999992370605","81","1004","46","0"
"12","Estación móvil zona Portuarios","43.553280","-5.702679","2023-10-21","18","3","2.70000004768372","1","2","2","","67","","","","","","227","1.03999996185303","15.3999996185303","89","1005","37","0"
"12","Estación móvil zona Portuarios","43.553280","-5.702679","2023-10-21","19","3","2.79999995231628","1","6","5","","62","","","","","","194","1.05999994277954","15.3999996185303","80","1005","35","0"
"12","Estación móvil zona Portuarios","43.553280","-5.702679","2023-10-21","20","3","2.90000009536743","1","2","2","","66","","","","","","215","1.10000002384186","15.3999996185303","75","1005","35","0"
"12","Estación móvil zona Portuarios","43.553280","-5.702679","2023-10-21","21","2","3","1","7","6","","52","","","","","","181","0.970000028610229","14.1000003814697","83","1005","34","0"
"12","Estación móvil zona Portuarios","43.553280","-5.702679","2023-10-21","22","3","3.29999995231628","1","6","6","","48","","","","","","222","0.970000028610229","13.5","87","1005","34","0"
"12","Estación móvil zona Portuarios","43.553280","-5.702679","2023-10-21","23","3","4.30000019073486","1","15","13","","34","","","","","","155","0.980000019073486","13","92","1005","34","0"
"12","Estación móvil zona Portuarios","43.553280","-5.702679","2023-10-21","24","3","3.09999990463257","1","5","4","","47","","","","","","176","1","13.8000001907349","87","1005","35","0"
"12","Estación móvil zona Portuarios","43.553280","-5.702679","2023-10-22","1","4","3.5","2","18","19","","30","8","36","0.100000001490116","0.100000001490116","0.100000001490116","161","0.980000019073486","13.3999996185303","87","1005","34","0"
"12","Estación móvil zona Portuarios","43.553280","-5.702679","2023-10-22","2","5","3.40000009536743","1","12","10","","34","13","29","0.100000001490116","0.100000001490116","0.100000001490116","166","1.02999997138977","13.1000003814697","88","1005","34","0"
"12","Estación móvil zona Portuarios","43.553280","-5.702679","2023-10-22","3","5","3.79999995231628","1","12","10","","31","10","35","0.100000001490116","0.100000001490116","0.100000001490116","173","0.990000009536743","12.6999998092651","90","1005","34","0"
"12","Estación móvil zona Portuarios","43.553280","-5.702679","2023-10-22","4","6","3.5","1","8","7","","35","8","18","0.100000001490116","0.100000001490116","0.100000001490116","154","1.05999994277954","12.8999996185303","86","1005","35","0"
"12","Estación móvil zona Portuarios","43.553280","-5.702679","2023-10-22","5","8","3.70000004768372","1","13","13","","28","10","20","0.100000001490116","0.100000001490116","0.100000001490116","150","1","12.5","88","1005","34","0"
"12","Estación móvil zona Portuarios","43.553280","-5.702679","2023-10-22","6","12","3.70000004768372","1","16","14","","24","11","21","0.100000001490116","0.100000001490116","0.100000001490116","160","1.02999997138977","12.3000001907349","89","1005","34","0"
"12","Estación móvil zona Portuarios","43.553280","-5.702679","2023-10-22","7","13","3.59999990463257","1","13","12","","28","11","22","0.100000001490116","0.100000001490116","0.100000001490116","180","1.10000002384186","12.6000003814697","86","1004","34","0"
