X,Y,FID,Id,Municipio,Tipo,Propietari,web,angulo
-1997886.3513,3331403.2204,1,1,Tazacorte,Privada,La Palma Rent a car,http://deffner.es/webcam/tazacorte/stream.jpg,160
-1997861.8934,3331395.4387,2,2,Tazacorte,Privada,La Palma Rent a car,http://deffner.es/webcam/puerto_tazacorte2/stream.jpg,250
-1993752.2129,3323103.6886,3,3,Los Llanos de Aridane,Privada,La Palma Rent a car,https://lapalmarentacar.com/webcam/puerto_naos2,180
-1993743.7463,3323087.8135,4,4,Los Llanos de Aridane,Privada,La Palma Rent a car,https://lapalmarentacar.com/webcam/puerto_naos,270
-1997460.0933,3330777.0723,5,5,Tazacorte,Privada,Puerto de Tazacorte,http://www.puertotazacorte.com/src/image/Capitania.jpg&t=webcam,220
-1997525.1505,3330755.8291,6,6,Tazacorte,Privada,Puerto de Tazacorte,http://www.puertotazacorte.com/inc/image.php?img=Domo1.jpg,180
-1997342.7451,3330605.2423,7,7,Tazacorte,Privada,Puerto de Tazacorte,http://www.puertotazacorte.com/src/image/Varadero.jpg&t=webcam,190
-1997426.6503,3330360.6484,8,8,Tazacorte,Privada,Puerto de Tazacorte,http://www.puertotazacorte.com/src/image/Domo2.jpg&t=webcam,0
-1978048.2819,3333990.6772,9,9,Santa Cruz de La Palma,Pública,Puertos de Tenerife,http://lpwebcam.puertosdetenerife.org/mjpg/video.cgi,30
-1990231.7653,3345399.2365,10,10,Garafía,Privada,Instituto Astrofísico de Canarias NOT,http://iris.not.iac.es/mjpg/video.mjpg,25
-1990283.0945,3345406.1156,11,11,Garafía,Privada,Instituto Astrofísico de Canarias NOT,http://iris2.not.iac.es/axis-cgi/jpg/image.cgi,250
-1991675.7978,3344638.2933,12,12,Garafía,Privada,IAC - Grantecan,http://www.gtc.iac.es/multimedia/netcam/camaraExt.jpg,340
-1991588.8159,3345353.3973,13,13,Garafía,Privada,IAC-Magic,http://www.magic.iac.es/webcams/webcam/,140
-1991503.1965,3344284.3197,14,14,Garafía,Privada,TNG,http://www.tng.iac.es/webcam/get.html?resolution=640x480&compression=30&clock=1&date=1&dummy=1455703771395,45
-1990294.4154,3345419.2759,15,15,Garafía,Privada,Liverpool Telescope,http://telescope.livjm.ac.uk/pics/webcam_ext_1.jpg,0
-1977062.0371,3331445.2995,16,16,Breña Baja,Privada,Hacienda San Jorge,https://www.meteosurfcanarias.com/1-webcams/med/weather-la-palma.jpg,0
-1991694.7859,3329913.6584,17,17,El Paso,Privada,Jardines de Aridane,http://www.jardin-lapalma.com/webcam/home/jardin-01.jpg,270
-1996229.2241,3330182.2498,18,19,Tazacorte,Privada,Apartamentos Atlantis,http://wp1059877.server-he.de/www/cam/cam.jpg,270
-1991737.0507,3330331.7232,19,20,El Paso,Privada,http://www.la-palma-aktuell.de/,http://www.la-palma-aktuell.de/cc/cam/cam.jpg,270
-2002167.9964,3347665.7593,20,21,Puntagorda,Privada,La Capilla - Stephan Scheller,http://escubic.eu/cam/,260
